Age,Shenzhen2020,Shanghai2020,Shiyan2020,China2020
"[0,5)",0.056481623,0.034478045,0.056927321,0.0552
"[5,10)",0.054545461,0.036749776,0.065261371,0.064
"[10,15)",0.039770445,0.026730034,0.06476402,0.0605
"[15,20)",0.036971435,0.02855546,0.04536579,0.0516
"[20,25)",0.096882042,0.060882397,0.03502177,0.0532
"[25,30)",0.141259848,0.088689995,0.060591074,0.0652
"[30,35)",0.151880733,0.110221182,0.087621268,0.0881
"[35,40)",0.113721204,0.092308682,0.065619737,0.0702
"[40,45)",0.080924877,0.074685677,0.069141391,0.0659
"[45,50)",0.075735787,0.071420817,0.08714542,0.081
"[50,55)",0.059625201,0.071798769,0.094794834,0.0859
"[55,60)",0.038937036,0.069655702,0.077472325,0.0719
"[60,65)",0.021313337,0.071026782,0.049427174,0.0521
"[65,70)",0.015881713,0.066246095,0.056503202,0.0525
"[70,75)",0.007639474,0.040770539,0.039989978,0.0352
"[75,Inf)",0.008429784,0.05578809,0.044353326,0.0475