Age,Shenzhen2010,Shenzhen2020,Shanghai2020,Shiyan2010,Shiyan2020,Beijing2010,Chongqing2010,Qinzhou2010,China2020
"[0,5)",0.040733691,0.062418585,0.034478045,0.0601163,0.074583053,0.036258923,0.054311924,0.098046219,0.0552
"[5,10)",0.030809707,0.047211492,0.036749776,0.048192656,0.05979003,0.02661136,0.053383447,0.092307063,0.064
"[10,15)",0.027062821,0.041469922,0.026730034,0.04241896,0.052626917,0.026635682,0.06228768,0.093812394,0.0605
"[15,20)",0.074853998,0.06824532,0.02855546,0.083445456,0.072629657,0.052147206,0.077838479,0.078703883,0.0516
"[20,25)",0.195044728,0.177824702,0.060882397,0.093677311,0.081535308,0.125326892,0.074500913,0.079358487,0.0532
"[25,30)",0.173638148,0.158308057,0.088689995,0.070641195,0.061485023,0.11701805,0.054287034,0.072640346,0.0652
"[30,35)",0.128383094,0.117048462,0.110221182,0.07589586,0.066058603,0.09081496,0.050477724,0.064944195,0.0881
"[35,40)",0.113798819,0.103751797,0.092308682,0.094425027,0.082186109,0.086142821,0.098879089,0.067085947,0.0702
"[40,45)",0.087787365,0.080036832,0.074685677,0.099031352,0.086195384,0.083522639,0.094498888,0.06928777,0.0659
"[45,50)",0.054117919,0.049339979,0.071420817,0.081384298,0.070835656,0.084436416,0.076317099,0.064187633,0.081
"[50,55)",0.025355532,0.023116954,0.071798769,0.05380292,0.046829244,0.071046655,0.053147853,0.047256553,0.0859
"[55,60)",0.019334931,0.017627897,0.069655702,0.06324216,0.055045015,0.064819498,0.075890976,0.047805304,0.0719
"[60,65)",0.011497174,0.0214,0.071026782,0.04834172,0.068792863,0.041231695,0.056954736,0.035052526,0.0521
"[65,70)",0.007024468,0.012864688,0.066246095,0.034780165,0.049494042,0.028295074,0.043928847,0.028717861,0.0525
"[70,75)",0.005163576,0.00945663,0.040770539,0.020849241,0.029669589,0.027719203,0.031589844,0.024118743,0.0352
"[75,Inf)",0.005394028,0.009878682,0.05578809,0.029755382,0.042343506,0.037972925,0.041705467,0.036675075,0.0475