Age_Individual,Age_Contact,Contact,Contact.Home
"[0,5)","[0,5)",0.276923077,0.015151515
"[5,10)","[0,5)",0.119565217,0.010204082
"[10,15)","[0,5)",0.03125,0.029850746
"[15,20)","[0,5)",0.023255814,0.011627907
"[20,25)","[0,5)",0.085714286,0.038461538
"[25,30)","[0,5)",0.48245614,0.333333333
"[30,35)","[0,5)",0.76984127,0.636363636
"[35,40)","[0,5)",0.340909091,0.28358209
"[40,45)","[0,5)",0.072916667,0.051020408
"[45,50)","[0,5)",0.069230769,0.048611111
"[50,55)","[0,5)",0.184782609,0.163265306
"[55,60)","[0,5)",0.310344828,0.233333333
"[60,65)","[0,5)",0.345454545,0.285714286
"[65,70)","[0,5)",0.268518519,0.201612903
"[70,75)","[0,5)",0.038961039,0.030487805
"[75,Inf)","[0,5)",0.030612245,0.040816327
"[0,5)","[5,10)",0.084615385,0.007575758
"[5,10)","[5,10)",1.326086957,0.06122449
"[10,15)","[5,10)",0.09375,0.037313433
"[15,20)","[5,10)",0.023255814,0.023255814
"[20,25)","[5,10)",0,0
"[25,30)","[5,10)",0.122807018,0.05
"[30,35)","[5,10)",0.46031746,0.340909091
"[35,40)","[5,10)",0.522727273,0.432835821
"[40,45)","[5,10)",0.104166667,0.081632653
"[45,50)","[5,10)",0.084615385,0.041666667
"[50,55)","[5,10)",0.043478261,0.030612245
"[55,60)","[5,10)",0.146551724,0.116666667
"[60,65)","[5,10)",0.263636364,0.19047619
"[65,70)","[5,10)",0.333333333,0.185483871
"[70,75)","[5,10)",0.097402597,0.073170732
"[75,Inf)","[5,10)",0.040816327,0.020408163
"[0,5)","[10,15)",0.030769231,0.03030303
"[5,10)","[10,15)",0.130434783,0.051020408
"[10,15)","[10,15)",2.625,0.149253731
"[15,20)","[10,15)",0.139534884,0.081395349
"[20,25)","[10,15)",0.042857143,0.012820513
"[25,30)","[10,15)",0.096491228,0.008333333
"[30,35)","[10,15)",0.206349206,0.075757576
"[35,40)","[10,15)",0.590909091,0.455223881
"[40,45)","[10,15)",0.59375,0.5
"[45,50)","[10,15)",0.323076923,0.229166667
"[50,55)","[10,15)",0.163043478,0.12244898
"[55,60)","[10,15)",0.051724138,0.041666667
"[60,65)","[10,15)",0.127272727,0.119047619
"[65,70)","[10,15)",0.305555556,0.258064516
"[70,75)","[10,15)",0.071428571,0.054878049
"[75,Inf)","[10,15)",0.153061224,0.081632653
"[0,5)","[15,20)",0.015384615,0.007575758
"[5,10)","[15,20)",0.02173913,0.020408163
"[10,15)","[15,20)",0.09375,0.052238806
"[15,20)","[15,20)",1.88372093,0.069767442
"[20,25)","[15,20)",0.071428571,0.012820513
"[25,30)","[15,20)",0.087719298,0.008333333
"[30,35)","[15,20)",0.055555556,0
"[35,40)","[15,20)",0.272727273,0.052238806
"[40,45)","[15,20)",0.458333333,0.326530612
"[45,50)","[15,20)",0.269230769,0.201388889
"[50,55)","[15,20)",0.206521739,0.112244898
"[55,60)","[15,20)",0.112068966,0.091666667
"[60,65)","[15,20)",0.1,0.047619048
"[65,70)","[15,20)",0.101851852,0.040322581
"[70,75)","[15,20)",0.084415584,0.054878049
"[75,Inf)","[15,20)",0.255102041,0.153061224
"[0,5)","[20,25)",0.046153846,0.022727273
"[5,10)","[20,25)",0,0
"[10,15)","[20,25)",0.0234375,0.007462687
"[15,20)","[20,25)",0.058139535,0.011627907
"[20,25)","[20,25)",1.057142857,0.051282051
"[25,30)","[20,25)",0.49122807,0.066666667
"[30,35)","[20,25)",0.079365079,0.022727273
"[35,40)","[20,25)",0.174242424,0
"[40,45)","[20,25)",0.166666667,0.112244898
"[45,50)","[20,25)",0.438461538,0.256944444
"[50,55)","[20,25)",0.25,0.244897959
"[55,60)","[20,25)",0.155172414,0.108333333
"[60,65)","[20,25)",0.127272727,0.063492063
"[65,70)","[20,25)",0.018518519,0.016129032
"[70,75)","[20,25)",0.058441558,0.054878049
"[75,Inf)","[20,25)",0.102040816,0.081632653
"[0,5)","[25,30)",0.423076923,0.303030303
"[5,10)","[25,30)",0.152173913,0.06122449
"[10,15)","[25,30)",0.0859375,0.007462687
"[15,20)","[25,30)",0.11627907,0.011627907
"[20,25)","[25,30)",0.8,0.102564103
"[25,30)","[25,30)",1.210526316,0.233333333
"[30,35)","[25,30)",0.492063492,0.075757576
"[35,40)","[25,30)",0.71969697,0.02238806
"[40,45)","[25,30)",0.4375,0.010204082
"[45,50)","[25,30)",0.461538462,0.076388889
"[50,55)","[25,30)",0.630434783,0.428571429
"[55,60)","[25,30)",0.681034483,0.408333333
"[60,65)","[25,30)",0.227272727,0.087301587
"[65,70)","[25,30)",0.166666667,0.064516129
"[70,75)","[25,30)",0.097402597,0.036585366
"[75,Inf)","[25,30)",0.102040816,0.06122449
"[0,5)","[30,35)",0.746153846,0.636363636
"[5,10)","[30,35)",0.630434783,0.459183673
"[10,15)","[30,35)",0.203125,0.074626866
"[15,20)","[30,35)",0.081395349,0
"[20,25)","[30,35)",0.142857143,0.038461538
"[25,30)","[30,35)",0.543859649,0.083333333
"[30,35)","[30,35)",1.380952381,0.560606061
"[35,40)","[30,35)",1.143939394,0.201492537
"[40,45)","[30,35)",0.46875,0.020408163
"[45,50)","[30,35)",0.492307692,0.020833333
"[50,55)","[30,35)",0.391304348,0.091836735
"[55,60)","[30,35)",0.568965517,0.266666667
"[60,65)","[30,35)",0.454545455,0.246031746
"[65,70)","[30,35)",0.212962963,0.14516129
"[70,75)","[30,35)",0.038961039,0.012195122
"[75,Inf)","[30,35)",0.102040816,0.020408163
"[0,5)","[35,40)",0.346153846,0.287878788
"[5,10)","[35,40)",0.75,0.591836735
"[10,15)","[35,40)",0.609375,0.455223881
"[15,20)","[35,40)",0.418604651,0.081395349
"[20,25)","[35,40)",0.328571429,0
"[25,30)","[35,40)",0.833333333,0.025
"[30,35)","[35,40)",1.198412698,0.204545455
"[35,40)","[35,40)",1.681818182,0.402985075
"[40,45)","[35,40)",1.291666667,0.234693878
"[45,50)","[35,40)",0.684615385,0.034722222
"[50,55)","[35,40)",0.554347826,0.010204082
"[55,60)","[35,40)",0.603448276,0.083333333
"[60,65)","[35,40)",0.645454545,0.285714286
"[65,70)","[35,40)",0.453703704,0.241935484
"[70,75)","[35,40)",0.227272727,0.115853659
"[75,Inf)","[35,40)",0.112244898,0.020408163
"[0,5)","[40,45)",0.053846154,0.037878788
"[5,10)","[40,45)",0.108695652,0.081632653
"[10,15)","[40,45)",0.4453125,0.365671642
"[15,20)","[40,45)",0.511627907,0.372093023
"[20,25)","[40,45)",0.228571429,0.141025641
"[25,30)","[40,45)",0.368421053,0.008333333
"[30,35)","[40,45)",0.357142857,0.015151515
"[35,40)","[40,45)",0.939393939,0.171641791
"[40,45)","[40,45)",1.041666667,0.489795918
"[45,50)","[40,45)",0.938461538,0.125
"[50,55)","[40,45)",0.413043478,0.020408163
"[55,60)","[40,45)",0.344827586,0.033333333
"[60,65)","[40,45)",0.245454545,0.063492063
"[65,70)","[40,45)",0.472222222,0.120967742
"[70,75)","[40,45)",0.298701299,0.170731707
"[75,Inf)","[40,45)",0.204081633,0.091836735
"[0,5)","[45,50)",0.069230769,0.053030303
"[5,10)","[45,50)",0.119565217,0.06122449
"[10,15)","[45,50)",0.328125,0.246268657
"[15,20)","[45,50)",0.406976744,0.337209302
"[20,25)","[45,50)",0.814285714,0.474358974
"[25,30)","[45,50)",0.526315789,0.091666667
"[30,35)","[45,50)",0.507936508,0.022727273
"[35,40)","[45,50)",0.674242424,0.037313433
"[40,45)","[45,50)",1.270833333,0.183673469
"[45,50)","[45,50)",1.138461538,0.361111111
"[50,55)","[45,50)",1.065217391,0.214285714
"[55,60)","[45,50)",0.629310345,0.05
"[60,65)","[45,50)",0.190909091,0.031746032
"[65,70)","[45,50)",0.388888889,0.056451613
"[70,75)","[45,50)",0.422077922,0.182926829
"[75,Inf)","[45,50)",0.510204082,0.295918367
"[0,5)","[50,55)",0.130769231,0.121212121
"[5,10)","[50,55)",0.043478261,0.030612245
"[10,15)","[50,55)",0.1171875,0.089552239
"[15,20)","[50,55)",0.220930233,0.127906977
"[20,25)","[50,55)",0.328571429,0.307692308
"[25,30)","[50,55)",0.50877193,0.35
"[30,35)","[50,55)",0.285714286,0.068181818
"[35,40)","[50,55)",0.386363636,0.007462687
"[40,45)","[50,55)",0.395833333,0.020408163
"[45,50)","[50,55)",0.753846154,0.145833333
"[50,55)","[50,55)",1,0.489795918
"[55,60)","[50,55)",0.75,0.166666667
"[60,65)","[50,55)",0.281818182,0.031746032
"[65,70)","[50,55)",0.277777778,0.016129032
"[70,75)","[50,55)",0.318181818,0.085365854
"[75,Inf)","[50,55)",0.357142857,0.193877551
"[0,5)","[55,60)",0.276923077,0.212121212
"[5,10)","[55,60)",0.184782609,0.142857143
"[10,15)","[55,60)",0.046875,0.037313433
"[15,20)","[55,60)",0.151162791,0.127906977
"[20,25)","[55,60)",0.257142857,0.166666667
"[25,30)","[55,60)",0.692982456,0.408333333
"[30,35)","[55,60)",0.523809524,0.242424242
"[35,40)","[55,60)",0.53030303,0.074626866
"[40,45)","[55,60)",0.416666667,0.040816327
"[45,50)","[55,60)",0.561538462,0.041666667
"[50,55)","[55,60)",0.945652174,0.204081633
"[55,60)","[55,60)",1.862068966,0.616666667
"[60,65)","[55,60)",1.081818182,0.19047619
"[65,70)","[55,60)",0.62962963,0.064516129
"[70,75)","[55,60)",0.558441558,0.25
"[75,Inf)","[55,60)",0.765306122,0.459183673
"[0,5)","[60,65)",0.292307692,0.272727273
"[5,10)","[60,65)",0.315217391,0.244897959
"[10,15)","[60,65)",0.109375,0.111940299
"[15,20)","[60,65)",0.127906977,0.069767442
"[20,25)","[60,65)",0.2,0.102564103
"[25,30)","[60,65)",0.219298246,0.091666667
"[30,35)","[60,65)",0.396825397,0.234848485
"[35,40)","[60,65)",0.537878788,0.268656716
"[40,45)","[60,65)",0.28125,0.081632653
"[45,50)","[60,65)",0.161538462,0.027777778
"[50,55)","[60,65)",0.336956522,0.040816327
"[55,60)","[60,65)",1.025862069,0.2
"[60,65)","[60,65)",1.218181818,0.587301587
"[65,70)","[60,65)",0.777777778,0.185483871
"[70,75)","[60,65)",0.402597403,0.024390244
"[75,Inf)","[60,65)",0.459183673,0.163265306
"[0,5)","[65,70)",0.223076923,0.189393939
"[5,10)","[65,70)",0.391304348,0.234693878
"[10,15)","[65,70)",0.2578125,0.23880597
"[15,20)","[65,70)",0.127906977,0.058139535
"[20,25)","[65,70)",0.028571429,0.025641026
"[25,30)","[65,70)",0.157894737,0.066666667
"[30,35)","[65,70)",0.182539683,0.136363636
"[35,40)","[65,70)",0.371212121,0.223880597
"[40,45)","[65,70)",0.53125,0.153061224
"[45,50)","[65,70)",0.323076923,0.048611111
"[50,55)","[65,70)",0.326086957,0.020408163
"[55,60)","[65,70)",0.586206897,0.066666667
"[60,65)","[65,70)",0.763636364,0.182539683
"[65,70)","[65,70)",2.777777778,0.596774194
"[70,75)","[65,70)",0.811688312,0.201219512
"[75,Inf)","[65,70)",0.795918367,0.153061224
"[0,5)","[70,75)",0.046153846,0.037878788
"[5,10)","[70,75)",0.163043478,0.12244898
"[10,15)","[70,75)",0.0859375,0.067164179
"[15,20)","[70,75)",0.151162791,0.104651163
"[20,25)","[70,75)",0.128571429,0.115384615
"[25,30)","[70,75)",0.131578947,0.05
"[30,35)","[70,75)",0.047619048,0.015151515
"[35,40)","[70,75)",0.265151515,0.141791045
"[40,45)","[70,75)",0.479166667,0.285714286
"[45,50)","[70,75)",0.5,0.208333333
"[50,55)","[70,75)",0.532608696,0.142857143
"[55,60)","[70,75)",0.74137931,0.341666667
"[60,65)","[70,75)",0.563636364,0.031746032
"[65,70)","[70,75)",1.157407407,0.266129032
"[70,75)","[70,75)",1,0.43902439
"[75,Inf)","[70,75)",1.102040816,0.234693878
"[0,5)","[75,Inf)",0.023076923,0.03030303
"[5,10)","[75,Inf)",0.043478261,0.020408163
"[10,15)","[75,Inf)",0.1171875,0.059701493
"[15,20)","[75,Inf)",0.290697674,0.174418605
"[20,25)","[75,Inf)",0.142857143,0.102564103
"[25,30)","[75,Inf)",0.087719298,0.05
"[30,35)","[75,Inf)",0.079365079,0.015151515
"[35,40)","[75,Inf)",0.083333333,0.014925373
"[40,45)","[75,Inf)",0.208333333,0.091836735
"[45,50)","[75,Inf)",0.384615385,0.201388889
"[50,55)","[75,Inf)",0.380434783,0.193877551
"[55,60)","[75,Inf)",0.646551724,0.375
"[60,65)","[75,Inf)",0.409090909,0.126984127
"[65,70)","[75,Inf)",0.722222222,0.120967742
"[70,75)","[75,Inf)",0.701298701,0.140243902
"[75,Inf)","[75,Inf)",2.836734694,0.795918367